configuration,dataset,endpoint,lambda,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
R06_2k128_L1024,8i,B_native,1024.0,14.0,877508.25,108316.0,0.12279001664156249,0.001355533204295587,29.122600520105777,0.00019751727285660995,38.42381927134009,0.00045991113569050454,36.96932294502266,31.26609316712468,17688.0,146.0,6720.0,23216.0,60546.0,47552.0
R06_2k128_L1024,8i,B_unpool,1024.0,14.0,877508.25,108316.0,0.12279001664156249,0.0018970080433219681,27.422417547201693,0.001169768923150015,29.333363870171706,0.0005003372273791078,35.95041794607287,28.72728588743184,17688.0,146.0,6720.0,23216.0,60546.0,47552.0
R06_2k128_L1024,8i,Canonical_Base,1024.0,14.0,877508.25,108316.0,0.12279001664156249,0.00076850561139944,32.27439644756661,0.00014270694005604533,41.87376104518372,0.00039526214708220743,39.12123641477259,34.33017201816949,17688.0,146.0,6720.0,23216.0,60546.0,47552.0
R06_2k128_L1024,8i,Official_Full,1024.0,14.0,877508.25,155868.0,0.17831803216361292,0.000449530124320885,33.785041201750914,0.00011539547754156864,42.14419768484521,0.0003454468427657507,39.367928113581,35.52779662611646,17688.0,146.0,6720.0,23216.0,60546.0,47552.0
R06_2k128_L1024,Owlii,B_native,1024.0,8.0,700286.25,50114.0,0.07176693644040294,0.0009751226002531427,30.201729034167368,0.00010812637341093591,39.670274555524784,6.325850877373672e-05,42.09694122444976,32.872198748122344,12106.0,136.0,3572.0,11368.0,22932.0,13544.0
R06_2k128_L1024,Owlii,B_unpool,1024.0,8.0,700286.25,50114.0,0.07176693644040294,0.001881386558772294,27.271411646975356,0.0013691906962491722,28.659021171246124,9.936072495495445e-05,40.0458593508316,29.04166880049123,12106.0,136.0,3572.0,11368.0,22932.0,13544.0
R06_2k128_L1024,Owlii,Canonical_Base,1024.0,8.0,700286.25,50114.0,0.07176693644040294,0.00043893480765282665,33.84645898196269,4.848906057680413e-05,43.206868765048014,3.2792799335500114e-05,45.152134371904054,36.42971962859103,12106.0,136.0,3572.0,11368.0,22932.0,13544.0
R06_2k128_L1024,Owlii,Official_Full,1024.0,8.0,700286.25,63658.0,0.09154703170694153,0.0003236734935420859,34.994964107492095,4.770087949194831e-05,43.25779460658199,3.3775818953454294e-05,44.98815564894895,37.27696686256044,12106.0,136.0,3572.0,11368.0,22932.0,13544.0
R06_2k128_L1024,RWTT_Train,B_native,1024.0,20.0,1280449.6666666667,123605.33333333333,0.08951140602335646,0.002002969571104544,28.925187289247432,0.00016604545078553385,38.40051840993649,7.746048124698193e-05,42.12707976029387,31.75984023821437,19682.666666666668,888.0,7992.0,26546.666666666668,68496.0,72765.33333333333
R06_2k128_L1024,RWTT_Train,B_unpool,1024.0,20.0,1280449.6666666667,123605.33333333333,0.08951140602335646,0.0027950585754446945,26.447722102456755,0.0011809974831913598,29.28656614776226,0.00010259460521645155,40.12828823374327,28.512648374530755,19682.666666666668,888.0,7992.0,26546.666666666668,68496.0,72765.33333333333
R06_2k128_L1024,RWTT_Train,Canonical_Base,1024.0,20.0,1280449.6666666667,123605.33333333333,0.08951140602335646,0.0013027825755436001,37.174121938402585,0.00010605784985473722,44.94653618019378,5.66339086922971e-05,47.102069312592015,39.386667140400164,19682.666666666668,888.0,7992.0,26546.666666666668,68496.0,72765.33333333333
R06_2k128_L1024,RWTT_Train,Official_Full,1024.0,20.0,1280449.6666666667,196370.66666666666,0.14274146896964618,0.0007919428585877211,37.23155755974897,9.057100880127294e-05,43.5986713649474,5.705235785248654e-05,47.09738658447086,39.26067541348901,19682.666666666668,888.0,7992.0,26546.666666666668,68496.0,72765.33333333333
R06_2k128_L1024,RWTT_Val,B_native,1024.0,28.0,2144542.0,249880.0,0.11651905162034598,0.003051648794514633,25.154654495444497,0.00014026226662163763,38.53059147233073,0.00011408347143292135,39.42777272193962,28.610786395867166,41800.0,776.0,15440.0,51912.0,139952.0,210792.0
R06_2k128_L1024,RWTT_Val,B_unpool,1024.0,28.0,2144542.0,249880.0,0.11651905162034598,0.0038518955218783315,24.143255011132034,0.0010518770062520574,29.780350383465375,0.00013154144884423808,38.809373789767434,26.68115678000313,41800.0,776.0,15440.0,51912.0,139952.0,210792.0
R06_2k128_L1024,RWTT_Val,Canonical_Base,1024.0,28.0,2144542.0,249880.0,0.11651905162034598,0.002318219972188933,26.348453569077076,9.023008677416902e-05,40.446486249716436,8.888947654669854e-05,40.511496512707524,29.881088022110802,41800.0,776.0,15440.0,51912.0,139952.0,210792.0
R06_2k128_L1024,RWTT_Val,Official_Full,1024.0,28.0,2144542.0,460672.0,0.21481136764866343,0.001359711533385217,28.665532186498325,8.150499285814873e-05,40.88815786298966,8.346534565075899e-05,40.78493803757061,31.708286127443778,41800.0,776.0,15440.0,51912.0,139952.0,210792.0
