configuration,point,profile,lambda,dataset,sequence,physical_bpp_B_native,physical_bpp_B_unpool,physical_bpp_Canonical_Base,physical_bpp_Official_Full,yuv611_B_native,yuv611_B_unpool,yuv611_Canonical_Base,yuv611_Official_Full,gain_native_db,gain_synthesis_db,native_r5_gap_db,canonical_to_full_gap_db,r5_delta_bpp
R05_8k256_L2048,2K,8k256,2048,Owlii,Model,0.12208801149364125,0.12208801149364125,0.12208801149364125,0.21126407248899667,32.0944213063968,29.935884314988343,34.782332812460105,37.44226128618663,2.158536991408454,2.6879115060633083,5.347839979789832,2.6599284737265236,0.08917606099535542
R05_8k256_L2048,2K,8k256,2048,RWTT_Train,train_high,0.16523635838141587,0.16523635838141587,0.16523635838141587,0.3310326971334123,27.66204299902237,26.46943808956814,29.507492556428925,32.0437991925706,1.1926049094542286,1.8454495574065568,4.3817561935482345,2.5363066361416777,0.16579633875199645
R05_8k256_L2048,2K,8k256,2048,RWTT_Train,train_low,0.0025440285736933643,0.0025440285736933643,0.0025440285736933643,0.002693238460713503,40.365288138764114,33.40638410666217,58.688163704971906,56.866541833208466,6.958904032101941,18.32287556620779,16.50125369444435,-1.8216218717634405,0.00014920988702013874
R05_8k256_L2048,2K,8k256,2048,RWTT_Train,train_typical,0.16487459178459557,0.16487459178459557,0.16487459178459557,0.2937929042720992,30.63730478658917,29.501635473845326,32.12482442230211,34.05525836398864,1.1356693127438433,1.4875196357129425,3.417953577399473,1.9304339416865304,0.12891831248750363
R05_8k256_L2048,2K,8k256,2048,RWTT_Val,val28,0.14517971669475346,0.14517971669475346,0.14517971669475346,0.31201813720598615,28.802711771788687,27.436338416574582,30.17598660929427,32.452962113726514,1.3663733552141046,1.3732748375055834,3.650250341937827,2.2769755044322437,0.16683842051123268
R06_2k128_L1024,1K,2k128,1024,8i,Longdress,0.19220342064837068,0.19220342064837068,0.19220342064837068,0.35202327364953856,27.548087943476677,26.520940433927016,28.68414483045834,31.93940604536715,1.0271475095496605,1.1360568869816632,4.391318101890473,3.25526121490881,0.15981985300116788
R06_2k128_L1024,1K,2k128,1024,8i,Loot,0.064285315136877,0.064285315136877,0.064285315136877,0.0724414337781034,33.56969441648373,29.87895741937243,37.866816738199844,38.07981583736605,3.6907369971112978,4.297122321716117,4.510121420882321,0.21299909916620408,0.008156118641226395
R06_2k128_L1024,1K,2k128,1024,8i,Redandblack,0.11764162435610295,0.11764162435610295,0.11764162435610295,0.1551767145181875,31.543687692205147,28.68986427770551,34.37005481932558,35.249006019147465,2.8538234144996366,2.8263671271204345,3.7053183269423187,0.8789511998218842,0.03753509016208453
R06_2k128_L1024,1K,2k128,1024,8i,Soldier,0.1170297064248993,0.1170297064248993,0.1170297064248993,0.13363070670862215,32.402902616333165,29.81938141872241,36.399671684694205,36.84295860258518,2.5835211976107537,3.99676906836104,4.440055986252013,0.44328691789097263,0.016601000283722855
R06_2k128_L1024,1K,2k128,1024,Owlii,Basketball,0.06409308015277242,0.06409308015277242,0.06409308015277242,0.07460277788592808,33.555132319662725,29.368481797636427,37.61838554515828,38.09638799546741,4.186650522026298,4.063253225495558,4.541255675804685,0.4780024503091269,0.01050969773315566
R06_2k128_L1024,1K,2k128,1024,Owlii,Dancer,0.07565402442602823,0.07565402442602823,0.07565402442602823,0.0926901392802099,32.560724780858045,28.752594085038375,36.10977961594347,37.29632367244919,3.8081306958196706,3.549054835085421,4.735598891591145,1.1865440565057241,0.017036114854181675
R06_2k128_L1024,1K,2k128,1024,Owlii,Exercise,0.046663101521386995,0.046663101521386995,0.046663101521386995,0.05264014508591225,33.68937180770084,29.302239334606245,37.71463303566839,37.93421932303488,4.387132473094592,4.025261227967555,4.244847515334044,0.21958628736648933,0.005977043564525254
R06_2k128_L1024,1K,2k128,1024,Owlii,Model,0.10065753966142409,0.10065753966142409,0.10065753966142409,0.14625506457571588,31.683566084267767,28.743359984683874,34.276080317593966,35.78093645929028,2.940206099583893,2.592514233326199,4.097370375022514,1.5048561416963153,0.045597524914291795
R06_2k128_L1024,1K,2k128,1024,RWTT_Train,train_high,0.1346782897717779,0.1346782897717779,0.1346782897717779,0.23905742658913245,27.526918586321706,25.659626678111465,29.038220989558564,31.10234253953147,1.867291908210241,1.5113024032368578,3.5754239532097642,2.0641215499729064,0.10437913681735456
R06_2k128_L1024,1K,2k128,1024,RWTT_Train,train_low,0.0025216470906403434,0.0025216470906403434,0.0025216470906403434,0.002670856977660482,37.55792320664625,31.537092134777083,57.350118876759716,53.84144681051831,6.020831071869168,19.792195670113465,16.283523603872062,-3.5086720662414024,0.00014920988702013874
R06_2k128_L1024,1K,2k128,1024,RWTT_Train,train_typical,0.13133428120765112,0.13133428120765112,0.13133428120765112,0.1864961233421456,30.194678921675152,28.341226310703725,31.771661554882215,32.83823689041725,1.853452610971427,1.576982633207063,2.6435579687420976,1.0665753355350347,0.05516184213449449
R06_2k128_L1024,1K,2k128,1024,RWTT_Val,val28,0.11651905162034598,0.11651905162034598,0.11651905162034598,0.21481136764866343,28.610786395867166,26.68115678000313,29.881088022110802,31.708286127443778,1.9296296158640374,1.2703016262436364,3.0974997315766117,1.8271981053329753,0.09829231602831745
