dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
CTC,soldier_viewdep_vox12,y_psnr,2k,0.2722466198571926,40.2976,39.94119451402539,0.3564054859746122
CTC,soldier_viewdep_vox12,y_psnr,4k,0.2943569244886117,40.4116,40.25627352598527,0.15532647401472843
CTC,soldier_viewdep_vox12,y_psnr,512,0.14246752798897683,35.9907,35.934,0.056699999999999307
CTC,soldier_viewdep_vox12,y_psnr,8k,0.25839869217348194,39.719,39.70927470126325,0.009725298736753984
CTC,soldier_viewdep_vox12,yuv_psnr_611,16k,0.3316965510623592,43.80941249999999,43.83447482813254,-0.025062328132548828
CTC,soldier_viewdep_vox12,yuv_psnr_611,1k,0.17556101649426725,40.5525125,40.25098468832034,0.30152781167966225
CTC,soldier_viewdep_vox12,yuv_psnr_611,2k,0.2722466198571926,42.869975000000004,42.68777007042311,0.1822049295768906
CTC,soldier_viewdep_vox12,yuv_psnr_611,4k,0.2943569244886117,42.9359625,42.96860681715009,-0.03264431715008698
CTC,soldier_viewdep_vox12,yuv_psnr_611,512,0.14246752798897683,39.546362499999994,39.342662499999996,0.20369999999999777
CTC,soldier_viewdep_vox12,yuv_psnr_611,8k,0.25839869217348194,42.5043375,42.48619574700805,0.01814175299195142
Owlii,basketball_player,y_psnr,16k,0.3289856910867264,42.0039,42.0454816428601,-0.04158164286010191
Owlii,basketball_player,y_psnr,1k,0.0683934153628973,35.7023,35.67454642837156,0.027753571628437612
Owlii,basketball_player,y_psnr,2k,0.10911598220083218,37.8269,37.854988712444374,-0.028088712444372277
Owlii,basketball_player,y_psnr,4k,0.16116209525795103,39.1507,39.474812136522345,-0.32411213652234494
Owlii,basketball_player,y_psnr,512,0.04967490018424625,34.3225,34.22051933519207,0.10198066480792534
Owlii,basketball_player,y_psnr,8k,0.21787025396342957,40.2047,40.45009601344412,-0.24539601344411466
Owlii,basketball_player,yuv_psnr_611,16k,0.3289856910867264,43.3815125,43.384244986346346,-0.0027324863463462634
Owlii,basketball_player,yuv_psnr_611,1k,0.0683934153628973,38.01715,37.96012519638166,0.05702480361834006
Owlii,basketball_player,yuv_psnr_611,2k,0.10911598220083218,39.781487500000004,39.80736368220357,-0.02587618220356802
Owlii,basketball_player,yuv_psnr_611,4k,0.16116209525795103,40.8840875,41.15008255500686,-0.2659950550068615
Owlii,basketball_player,yuv_psnr_611,512,0.04967490018424625,36.942400000000006,36.81229432364284,0.13010567635716797
Owlii,basketball_player,yuv_psnr_611,8k,0.21787025396342957,41.8044875,41.99020939943309,-0.1857218994330907
Owlii,dancer,y_psnr,16k,0.4089009426840143,41.4612,41.568203360599874,-0.10700336059987592
Owlii,dancer,y_psnr,1k,0.08606941504590919,34.789,34.8576088609629,-0.06860886096289676
Owlii,dancer,y_psnr,2k,0.14077870428666253,36.8635,37.084993052987485,-0.22149305298748345
Owlii,dancer,y_psnr,4k,0.2038294223389617,38.377,38.664630777267256,-0.2876307772672533
Owlii,dancer,y_psnr,512,0.06123885031864372,33.3529,33.28789486814238,0.06500513185761747
Owlii,dancer,y_psnr,8k,0.28044065990729844,39.5917,39.886963130592974,-0.2952631305929714
Owlii,dancer,yuv_psnr_611,16k,0.4089009426840143,43.121325000000006,43.22092681770137,-0.09960181770136245
Owlii,dancer,yuv_psnr_611,1k,0.08606941504590919,37.22025,37.24528590668817,-0.02503590668816713
Owlii,dancer,yuv_psnr_611,2k,0.14077870428666253,38.9577375,39.25523746777804,-0.29749996777803744
Owlii,dancer,yuv_psnr_611,4k,0.2038294223389617,40.41055,40.60870534168231,-0.19815534168230897
Owlii,dancer,yuv_psnr_611,512,0.06123885031864372,36.03355,35.93791564999057,0.09563435000942633
Owlii,dancer,yuv_psnr_611,8k,0.28044065990729844,41.4919375,41.71718447857233,-0.22524697857232923
Owlii,exercise,y_psnr,16k,0.3289234036286979,40.7381,40.60110335035003,0.13699664964997282
Owlii,exercise,y_psnr,1k,0.049453215218520155,35.5932,35.54990223951194,0.04329776048806622
Owlii,exercise,y_psnr,2k,0.08261216644578266,37.1186,37.11598391930654,0.0026160806934640846
Owlii,exercise,y_psnr,4k,0.1298208902012757,38.1017,38.345443087127364,-0.24374308712736337
Owlii,exercise,y_psnr,512,0.034560208328489384,34.4706,34.4216341376741,0.04896586232590039
Owlii,exercise,y_psnr,8k,0.19574197648554179,39.13,39.220506552894896,-0.09050655289489384
Owlii,exercise,yuv_psnr_611,16k,0.3289234036286979,42.3730875,42.239852091845535,0.13323540815446222
Owlii,exercise,yuv_psnr_611,1k,0.049453215218520155,37.99478750000001,37.914817249671295,0.07997025032871363
Owlii,exercise,yuv_psnr_611,2k,0.08261216644578266,39.28917500000001,39.281255283106546,0.00791971689346127
Owlii,exercise,yuv_psnr_611,4k,0.1298208902012757,40.10765,40.300288241155044,-0.1926382411550449
Owlii,exercise,yuv_psnr_611,512,0.034560208328489384,37.0369625,36.940301951531744,0.09666054846825745
Owlii,exercise,yuv_psnr_611,8k,0.19574197648554179,40.966212500000005,41.0407930034396,-0.07458050343959854
Owlii,model,y_psnr,16k,0.6210823178843187,40.768,40.90727021618741,-0.13927021618741264
Owlii,model,y_psnr,1k,0.12906933432661097,33.068,33.148020648397996,-0.08002064839799772
Owlii,model,y_psnr,2k,0.207238257405873,35.2292,35.40045955942674,-0.1712595594267441
Owlii,model,y_psnr,4k,0.30676467681735603,36.9943,37.266000228519516,-0.2717002285195136
Owlii,model,y_psnr,512,0.08754627482877363,31.3899,31.362906066121727,0.026993933878273424
Owlii,model,y_psnr,8k,0.42948514264429766,38.599,38.84293326590853,-0.24393326590853093
Owlii,model,yuv_psnr_611,16k,0.6210823178843187,42.149587499999996,42.346034861236134,-0.19644736123613882
Owlii,model,yuv_psnr_611,1k,0.12906933432661097,35.4317625,35.48139170809319,-0.04962920809319371
Owlii,model,yuv_psnr_611,2k,0.207238257405873,37.2133625,37.48082874758997,-0.2674662475899652
Owlii,model,yuv_psnr_611,4k,0.30676467681735603,38.9079875,39.088247405994565,-0.18025990599456776
Owlii,model,yuv_psnr_611,512,0.08754627482877363,34.1052,34.047687469502726,0.057512530497277226
Owlii,model,yuv_psnr_611,8k,0.42948514264429766,40.217175,40.49833565981688,-0.28116065981688365
